Agent_id,status,lost_reason,budget,lease,source,source_city,source_country,utm_source,utm_medium,des_city,des_country,room_type,lead_id,cat_lease,cat_budget
112,0,20,90,9,126,1306,99,20,3,165,8,0,19363,5,5
112,0,20,90,52,126,1781,165,20,3,130,8,3,15009,2,5
20,0,15,90,52,280,778,31,20,3,69,8,2,10729,2,5
20,0,15,210,42,280,921,109,20,3,173,8,2,22323,1,0
46,0,20,90,42,126,4014,163,20,3,98,8,3,21392,1,5
111,0,10,300,52,126,273,118,20,3,130,8,0,11169,2,6
98,0,20,150,42,126,357,163,20,3,18,8,3,571,1,4
20,0,15,0,52,195,810,163,20,3,106,8,5,1775,2,5
52,0,21,150,42,126,2921,163,20,3,18,8,3,14732,1,4
46,0,26,90,52,126,2943,167,20,3,109,8,0,571,2,5
62,0,16,90,52,126,1140,163,20,3,73,8,0,2795,2,5
105,0,21,0,22,195,3868,163,20,3,48,8,5,1775,0,5
16,0,21,150,42,126,1541,163,20,3,73,8,0,1396,1,4
79,0,21,210,42,126,335,158,20,3,194,8,3,20635,1,0
21,0,21,90,52,126,173,163,20,3,109,8,0,8684,2,5
79,1,30,0,0,164,2195,163,20,3,148,8,5,18752,5,5
91,0,16,90,0,126,638,99,20,3,191,8,2,1396,5,5
9,0,20,0,42,127,1541,163,20,3,6,8,5,6813,1,5
35,0,21,150,42,126,840,163,20,3,18,8,0,8684,1,4
19,0,20,90,42,126,2417,163,20,3,91,8,3,18752,1,5
57,0,10,150,52,126,2897,163,20,3,29,8,0,11315,2,4
20,0,15,0,42,127,1475,31,20,3,133,8,5,9912,1,5
22,0,20,90,52,126,2121,99,20,3,194,8,2,24190,2,5
5,0,16,0,0,127,3295,99,20,3,7,8,5,11315,5,5
78,0,20,90,42,126,2943,167,20,3,73,8,3,9912,1,5
9,0,20,210,51,126,2776,163,20,3,18,8,2,2997,2,0
4,0,21,150,52,126,4003,163,20,3,111,8,3,16339,2,4
25,1,30,150,42,126,3922,163,20,3,98,8,2,24190,1,4
35,0,26,90,9,126,2605,99,20,3,109,8,3,5508,5,5
67,0,21,0,52,245,1541,163,20,3,82,8,5,9950,2,5
9,0,25,177,51,164,297,163,9,3,18,8,5,4086,2,4
20,0,17,0,9,127,2049,99,20,3,199,8,5,20376,5,5
25,0,16,0,52,195,638,99,20,3,89,8,5,1723,2,5
4,0,16,150,52,126,1955,167,20,3,194,8,3,12309,2,4
103,0,16,0,0,199,2605,99,20,3,194,8,5,2534,5,5
40,0,20,150,42,126,27,163,20,3,194,8,2,1723,1,4
4,0,21,90,22,126,2534,163,20,3,130,8,3,2534,0,5
12,0,16,90,52,126,2,138,20,3,151,8,2,1453,2,5
